"Date","Station","ParMC","DissMC","Phycocyanin","Chla","DOC","SRP","TP","TDP","POC","PON","PP","N.P","Nitrate","Ammonia","SortChem","H2O2","Intensive"
"8/11","WE12",2.9,NA,16.97,11.58,3.94625,1.53,43.6,5.6,1.34,0.25,37.93,6.48,145,8.12,"E2014_0054",295.5588752,"n"
"8/11","WE2",29.3,NA,268.78,71.96,3.898,0.69,121.1,6.9,6.79,1.21,114.19,10.57,146,7.07,"E2014_0052",292.8814101,"n"
"8/11","WE4",11.4,NA,52.11,30.23,3.28225,0.98,45.7,5.7,2.64,0.45,40.03,11.32,39,7.14,"E2014_0056",263.5888692,"n"
"8/18","WE12",3.39,NA,15.78,33.35,2.915,2.44,82.7,7.2,3.76,0.58,75.56,7.71,3,2.01,"E2014_0060",214.2496831,"n"
"8/18","WE2",4.71,NA,23.89,39.39,3.97825,1.27,72.1,7.1,3.96,0.54,65.03,8.35,1,3.25,"E2014_0058",203.664182,"n"
"8/18","WE4",0.21,NA,1.08,5.86,3.293,NA,12,1.3,0.55,0.1,10.65,8.97,179,1.77,"E2014_0062",215.008592,"n"
"8/25","WE12",3.1,NA,45.72,38.28,4.272,3.68,98.1,10.3,4.03,0.59,87.88,6.68,28,2.58,"E2014_0066",392.5883741,"n"
"8/25","WE2",2.7,NA,18.81,27.1,4.17975,15.75,90.3,21.2,2.82,0.44,69.1,6.34,8,3.38,"E2014_0064",279.7923708,"n"
"8/25","WE4",0.1,NA,1.37,3.56,2.1968,0.2,11.6,0.6,0.39,0.06,10.95,5.65,199,18.23,"E2014_0068",304.2043115,"n"
"9/2","WE12",0.3,0,6.25,23.62,3.19425,1.81,47.5,5.6,1.76,0.27,41.9,6.48,48,1.63,"E2014_0078",279.0339353,"n"
"9/2","WE2",0.6,0,7.11,36.74,4.0195,4.38,71.5,8.5,2.33,0.36,62.95,5.79,32,4.92,"E2014_0076",281.547499,"n"
"9/2","WE4",0.2,0,7.53,28.42,2.5675,0.9,30.6,2.7,1.55,0.26,27.93,9.25,73,5.28,"E2014_0080",311.1521277,"n"
"9/8","WE12",0.4,0.31,4.44,23.2,3.238,1.87,47.3,6.4,1.58,0.2,40.86,4.98,70,1.1,"E2014_0084",283.6230938,"n"
"9/8","WE2",0.6,0.48,3.24,20.77,3.5595,4.08,42.7,8.3,1.57,0.21,34.33,6.13,53,1.15,"E2014_0082",220.6112009,"n"
"9/8","WE4",0.8,0.25,15.81,26.24,3.2225,0.27,30.6,3.5,1.57,0.28,27.08,10.27,63,1.54,"E2014_0086",246.0188035,"n"
"9/15","WE12",1.3,1.04,4.78,18.49,4.361,12.1,66,15.9,1.15,0.21,50.05,4.17,141,0.1,"E2014_0090",180.3205479,"n"
"9/15","WE2",0.7,0.87,9.1,13.72,3.94325,20.21,57.5,22.9,31.68,5.91,34.52,NA,143,10.97,"E2014_0088",215.4381433,"n"
"9/15","WE4",0.1,0.1,0.91,3.94,2.52875,2.85,35.1,5.6,0.9,0.14,29.46,4.62,192,11.83,"E2014_0092",213.1191761,"n"
"9/23","WE12",0.9,0.9,17.55,16.97,3.3648,17.39,60.3,17.7,1.77,0.32,42.62,7.42,150,3.14,"E2014_0102",270.7901863,"n"
"9/23","WE2",1.35,1.4,30.84,12.64,3.67775,21.22,65.3,21.1,1.33,0.25,44.24,5.67,152,12.85,"E2014_0100",213.3807517,"n"
"9/23","WE4",0.3,0.1,0.49,2.62,2.37,0.1,9.9,1.5,0.33,0.06,8.49,6.6,176,0.59,"E2014_0104",270.6391546,"n"
"9/29","WE12",0.6,0.5,21.87,22.25,3.475,7.98,69.2,9.1,3.03,0.48,60.11,8.01,140,0.44,"E2014_0108",320.7728026,"n"
"9/29","WE2",4.2,0.6,205.5,66.63,3.044,2.25,132.7,8.3,5.84,1.07,124.46,8.59,147.5,0.1,"E2014_0106",296.5561875,"n"
"9/29","WE4",0.2,0,3.65,9.21,2.72,0.1,17.7,3.1,0.82,0.14,14.64,9.43,188,0.33,"E2014_0110",290.0495404,"n"
"10/6","WE12",0,0.2,0.5,3.97,3.04825,12.57,39.4,9.3,0.71,0.12,30.12,4.02,169.5,36.39,"E2014_0114",183.076992,"n"
"10/6","WE2",0,0.3,6.24,8.06,3.1168,12.65,53,11.1,1.56,0.21,41.97,4.89,149,11.18,"E2014_0112",163.163617,"n"
"10/6","WE4",0.1,0,0.36,1.18,2.1325,6.84,20.7,4.8,0.4,0.06,15.95,3.65,191.5,23.01,"E2014_0116",182.2009117,"n"
"10/15","WE12",0.3,0.1,0.39,4.11,2.911833333,11.27,25.6,18.2,0.9,0.14,7.34,18.55,150.5,6.54,"E2014_0120",214.3144507,"n"
"10/15","WE2",0.45,0.3,0.94,6.85,3.994,10.19,48.8,17.2,1.1,0.14,31.53,4.53,153.5,9.31,"E2014_0118",154.2188826,"n"
"10/15","WE4",0.54,0.2,2.71,4.15,4.252,13.02,40.1,21,0.6,0.1,19.05,5.37,163,24.25,"E2014_0122",211.6492848,"n"
"10/20","WE12",0,0.38,0.54,5,3.20475,13.27,45.2,20.7,0.5,0.11,24.49,4.46,156.5,5.18,"E2014_0126",178.0787383,"n"
"10/20","WE2",0,0.46,2.12,7.23,3.66625,9.16,44.3,16,0.77,0.13,28.34,4.48,161.5,6.57,"E2014_0124",156.6879621,"n"
"10/20","WE4",0,0.15,0.23,1.39,1.9765,0.29,11.9,2.6,0.23,0.04,9.33,4.47,197,7.66,"E2014_0128",188.689771,"n"
"10/27","WE12",0,0.19,0.17,4.91,3.0794,6.56,31.3,15.3,0.5,0.07,16,4.45,161.5,0.1,"E2014_0132",231.1136556,"n"
"10/27","WE2",0,0.28,0.12,3.26,3.2435,8.52,38.9,18.6,0.49,0.06,20.37,3.14,162.5,3.72,"E2014_0130",131.0076975,"n"
"10/27","WE4",0,0,0,1.14,2.16,3.05,11.9,7.7,0.14,0.01,4.14,3.58,199,58.2,"E2014_0134",272.035205,"n"
"11/3","WE12",0,0.16,NA,7.35,3.0265,13.96,216.9,22.2,3.94,0.63,194.72,3.22,183.5,11.73,"E2014_0138",413.4252926,"n"
"11/3","WE2",0,0.14,NA,2.97,2.961166667,15.6,95.9,23.5,1.28,0.12,72.37,1.66,197.5,69.57,"E2014_0136",522.8830441,"n"
