,OTU, pvalue , r ,,,,,
,Otu00159, 0.006 , 0.503 ,Chlorobi,Chlorobia,Chlorobiales,OPB56,unclassified
,Otu00175, 0.006 , 0.496 ,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Candidatus_Aquirestis
,Otu00193, 0.001 , 0.587 ,Cyanobacteria,Cyanobacteria,SubsectionIV,FamilyI,Anabaena
,Otu00238, 0.006 , 0.496 ,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,unclassified
,Otu00245, 0.023 , 0.452 ,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12_marine_group,unclassified
,Otu00451, 0.026 , 0.445 ,Proteobacteria,Deltaproteobacteria,Myxococcales,0319-6G20,unclassified
,Otu00793, 0.005 , 0.517 ,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
,Otu01489, 0.000 , 0.609 ,Proteobacteria,Betaproteobacteria,Nitrosomonadales,unclassified,unclassified
,Otu01597, 0.003 , 0.531 ,Acidobacteria,Acidobacteria,Subgroup_4,Unknown_Family,Blastocatella
".22,TG",Otu00128, 0.013 , 0.487 ,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12_marine_group,unclassified
,Otu00138, 0.013 , 0.498 ,Proteobacteria,Deltaproteobacteria,Myxococcales,0319-6G20,unclassified
,Otu00156, 0.045 , 0.435 ,Proteobacteria,unclassified,unclassified,unclassified,unclassified
,Otu00303, 0.045 , 0.435 ,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Roseospirillum
,Otu00492, 0.000 , 0.642 ,unclassified,unclassified,unclassified,unclassified,unclassified
".22, CG",Otu00030, 0.005 , 0.521 ,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter
,Otu00390, 0.014 , 0.485 ,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Pseudospirillum
,Otu00451, 0.040 , 0.445 ,Proteobacteria,Deltaproteobacteria,Myxococcales,0319-6G20,unclassified
,Otu01489, 0.002 , 0.564 ,Proteobacteria,Betaproteobacteria,Nitrosomonadales,unclassified,unclassified
